Method,dataset,seed,Train size,Number of features for test,kBET,ASW (true labels),ASW (predicted labels),ARI,NMI
DeepTAN,snrna,46,5439,1200,0.93519882179676,0.027286857,0.5834665,0.3337660567639728,0.34712853274460276
DeepTAN,snrna,44,5439,1200,0.9572901325478645,0.3912229,0.6700706,0.3325028968719327,0.3435950077806011
DeepTAN,snrna,45,5439,1200,1.0,0.27527988,0.67390865,0.332929002199646,0.3438159763865027
DeepTAN,snrna,43,5439,1200,0.914580265095729,0.26341432,0.61562264,0.33291488289124754,0.3436032211327456
DeepTAN,snrna,42,1359,1200,0.9779086892488954,0.38156065,0.5841946,0.33235188120973197,0.3419907071653765
DeepTAN,snrna,46,1359,1200,0.9720176730486009,0.34848088,0.5229881000000001,0.3336406260893112,0.3461388505788752
DeepTAN,snrna,44,1359,1200,0.9896907216494846,0.43190435,0.5366665,0.3318987683448716,0.34314537999653494
DeepTAN,snrna,45,1359,1200,0.9484536082474226,0.28010732,0.5072525,0.33296300547900376,0.3437020580667131
DeepTAN,snrna,43,1359,1200,0.9955817378497791,0.44468197,0.630381,0.3329515633164664,0.34281525383242245
DeepTAN,snrna,42,680,400,0.9926362297496318,0.2564721,0.69434875,0.33259284590213056,0.34437657271787003
DeepTAN,snrna,46,680,400,0.9513991163475699,0.29079038,0.7122878,0.3334616046360985,0.345544194836992
DeepTAN,snrna,44,680,400,0.9852724594992637,0.39088532,0.6381228,0.333177098642183,0.3439714124283537
DeepTAN,snrna,45,680,400,0.9808541973490427,0.4697599,0.6693683,0.3332708519020736,0.3439180240174232
DeepTAN,snrna,42,5439,1600,0.9528718703976435,0.32677734,0.7124900000000001,0.33294377401907477,0.34249457166507813
DeepTAN,snrna,46,5439,1600,0.9720176730486009,0.024748415,0.60718256,0.3331318736014288,0.34580187683289565
DeepTAN,snrna,44,5439,1600,0.9366715758468336,0.4752595,0.6704234,0.33297123989784394,0.3440256946967651
DeepTAN,snrna,45,5439,1600,0.9543446244477173,0.28597066,0.6788791,0.33309075463794197,0.3436871243846991
DeepTAN,snrna,43,5439,1600,0.9941089837997055,0.41505927,0.63723874,0.3323624719982048,0.34565678259412347
DeepTAN,snrna,42,1359,800,0.9528718703976435,0.3617639,0.5651186,0.33262937904705775,0.34271347967258353
DeepTAN,snrna,46,1359,800,0.9926362297496318,0.29964995,0.551258,0.33315889728959663,0.345994684683478
DeepTAN,snrna,44,1359,800,0.9690721649484536,0.31429064,0.5180282,0.3341854010600486,0.34365961639497694
DeepTAN,snrna,45,1359,800,0.9720176730486009,0.3587615,0.5458061,0.33283765725627673,0.3440435080994528
DeepTAN,snrna,43,1359,800,0.9617083946980854,0.39548814,0.5680874,0.3319386775986172,0.344000186393378
DeepTAN,snrna,42,2720,800,0.8807069219440353,0.15678713,0.5633932,0.3323771458251686,0.34336099184176994
DeepTAN,snrna,46,2720,800,0.9690721649484536,0.45048264,0.4991002,0.33231172988006125,0.343278683216237
DeepTAN,snrna,44,2720,800,0.9955817378497791,0.415358,0.6541795,0.3332666932343318,0.3446699274421944
DeepTAN,snrna,45,2720,800,0.9852724594992637,0.2817841,0.5247145,0.3325237759347614,0.34286226950898413
