n_feat,trn_grad,trn_data,Method,Capability,fname,weighted_f1,macro_f1,micro_f1,auroc,auprc,accuracy,weighted_precision,weighted_recall,seed,seed_num,task,split,path
1600,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Labelling,preds+seed_46+multitask+tst.pkl,0.49113107996403876,0.2571159077236942,0.4521354933726068,0.5226319710725809,0.5557111717851656,0.4521354933726068,0.5653890999805853,0.4521354933726068,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1600/preds+seed_46+multitask+tst.pkl
1600,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Labelling,preds+seed_44+multitask+tst.pkl,0.3720632105619865,0.19005217112446862,0.3181148748159057,0.5008512871901254,0.5473091865269325,0.3181148748159057,0.5408030609129695,0.3181148748159057,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1600/preds+seed_44+multitask+tst.pkl
1600,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Labelling,preds+seed_45+multitask+tst.pkl,0.241363183024348,0.15573427426875702,0.22091310751104565,0.5042623709819452,0.5331993423908106,0.22091310751104565,0.4862395655303065,0.22091310751104565,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1600/preds+seed_45+multitask+tst.pkl
1600,1,sc_rna_annotated_minmi0.1_top2000_eighth,DeepTAN,Labelling,preds+seed_43+multitask+tst.pkl,0.2836253177376388,0.1753095100459933,0.2547864506627393,0.49517936559664644,0.5405660359572602,0.2547864506627393,0.5133560318125429,0.2547864506627393,seed_43,43,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_eighth+top_1600/preds+seed_43+multitask+tst.pkl
1600,4,sc_rna_annotated_minmi0.1_top2000_half,DeepTAN,Labelling,preds+seed_42+multitask+tst.pkl,0.3110365719071976,0.17847139674992507,0.3136966126656848,0.502243366304098,0.5520649020074437,0.3136966126656848,0.5466988247780434,0.3136966126656848,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_half+top_1600/preds+seed_42+multitask+tst.pkl
1600,4,sc_rna_annotated_minmi0.1_top2000_half,DeepTAN,Labelling,preds+seed_46+multitask+tst.pkl,0.2679134385631354,0.13950052807604296,0.24005891016200295,0.47830513058536817,0.5275954717873323,0.24005891016200295,0.491114533594013,0.24005891016200295,seed_46,46,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_half+top_1600/preds+seed_46+multitask+tst.pkl
1600,4,sc_rna_annotated_minmi0.1_top2000_half,DeepTAN,Labelling,preds+seed_44+multitask+tst.pkl,0.4885977731649457,0.22684478339689768,0.45508100147275404,0.4993025327949739,0.5447451785416664,0.45508100147275404,0.537094242016815,0.45508100147275404,seed_44,44,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_half+top_1600/preds+seed_44+multitask+tst.pkl
1600,4,sc_rna_annotated_minmi0.1_top2000_half,DeepTAN,Labelling,preds+seed_45+multitask+tst.pkl,0.5060015965146625,0.26539923628969786,0.4727540500736377,0.51957906049953,0.5534530077607838,0.4727540500736377,0.5606237646335547,0.4727540500736377,seed_45,45,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_half+top_1600/preds+seed_45+multitask+tst.pkl
1600,4,sc_rna_annotated_minmi0.1_top2000_half,DeepTAN,Labelling,preds+seed_43+multitask+tst.pkl,0.4598309889749178,0.22249243121125292,0.4167893961708395,0.4933981951147564,0.5428778606324851,0.4167893961708395,0.5293357620979072,0.4167893961708395,seed_43,43,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_half+top_1600/preds+seed_43+multitask+tst.pkl
2000,4,sc_rna_annotated_minmi0.1_top2000_half,DeepTAN,Labelling,preds+seed_42+multitask+tst.pkl,0.39290049623419765,0.23263985824842687,0.36524300441826213,0.5032458259558346,0.5538192564842556,0.36524300441826213,0.5433078380913412,0.36524300441826213,seed_42,42,multitask,tst,/mnt/hdd2/homext/wuch/xn2p/run/predict/deeptan/sc_rna_annotated_minmi0.1_top2000_half/preds+seed_42+multitask+tst.pkl
